path,fname,split_official,label,cls,is_mp3
data/for-2seconds\training\real\file10095.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10095.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10098.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10098.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10105.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10105.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10106.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10106.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10110.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10110.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10113.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10113.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10120.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10120.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10135.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10135.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10155.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10155.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10156.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10156.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10158.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10158.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file1016.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file1016.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10162.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10162.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10166.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10166.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10178.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10178.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10184.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10184.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10185.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10185.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10193.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10193.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file102.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file102.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file1020.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file1020.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10205.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10205.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10207.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10207.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10217.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10217.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10223.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10223.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10225.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10225.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10238.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10238.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file1024.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file1024.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10240.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10240.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10245.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10245.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10253.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10253.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10269.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10269.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10270.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10270.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10278.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10278.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10279.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10279.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10283.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10283.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10284.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10284.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file1029.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file1029.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10294.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10294.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10299.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10299.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file103.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file103.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10300.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10300.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10302.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10302.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10303.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10303.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10306.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10306.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10311.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10311.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10314.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10314.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10315.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10315.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10324.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10324.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10332.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10332.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10349.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10349.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10352.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10352.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10356.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10356.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10358.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10358.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file1036.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file1036.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10365.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10365.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10372.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10372.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10373.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10373.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10375.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10375.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10379.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10379.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10381.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10381.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10389.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10389.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file1039.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file1039.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10407.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10407.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10419.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10419.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file1042.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file1042.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10423.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10423.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10428.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10428.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10429.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10429.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10440.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10440.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10441.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10441.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10447.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10447.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10449.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10449.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10455.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10455.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10456.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10456.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10459.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10459.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file1046.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file1046.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10461.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10461.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file1047.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file1047.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10473.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10473.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10479.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10479.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10485.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10485.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10486.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10486.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10487.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10487.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file1049.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file1049.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10492.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10492.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10499.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10499.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10517.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10517.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file1052.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file1052.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10528.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10528.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file1053.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file1053.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10534.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10534.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10536.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10536.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10545.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10545.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10550.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10550.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10554.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10554.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10561.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10561.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10567.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10567.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10568.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10568.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10577.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10577.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10578.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10578.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10579.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10579.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10581.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10581.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10587.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10587.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10599.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10599.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10600.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10600.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10601.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10601.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10605.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10605.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10607.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10607.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10612.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10612.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10614.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10614.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10632.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10632.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10637.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10637.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10638.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10638.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10650.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10650.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10654.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10654.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
